хъупцӏ	χʷ ə p t͡sʼ
шъуялъэ	ʃʷ ə j aː ɬ a
хьалжъогъуан	ħ aː l ʐʷ a ʁʷ aː n
джаргъэн	d͡ʒ aː r ʁ a n
кӏэлэгъу	t͡ʃ a l a ʁʷ
тхылъылъ	t x ə ɬ ə ɬ
гъэшӏэгъоны	ʁ a ʃʼ a ʁʷ a n ə
дехьыхын	d a j ħ ə x ə n
ошӏу	w a ʃʷʼ ə
къэбаскъэ	q a b aː s q a
нэбгыр	n a b ɣ ə r
бэлыджакӏэ	b a l ə d͡ʒ aː kʼ a
пцыкъо	p t͡s ə qʷ a
къэхьыпэ	q a ħ ə p a
ахъчалъ	aː χ t͡ʃ aː ɬ
егъэблэгъэн	j a ʁ a b l a ʁ a n
бэткэлӏ	b a t k a ɬʼ
ӏэлджанэ	ʔ a l d͡ʒ aː a n a
жъоркъ	ʐʷ a r q
тхъун	t χʷ ə n
хэӏэжьын	x a ʔ a ʑ ə n
къыгъэ	q ə ʁ a
анджэрэф	aː n d͡ʒ a r a f
динынчъэ	d ə n ə n t͡ʂʼ a
илъэдэн	j ə ɬ a d a n
етӏанэ	j a tʼ aː n a
убэн	w ə b a n
дэгъэбыбэен	d a ʁ a b ə b a j a n
кӏэпщы	t͡ʃʼ a p ɕ ə
къолэнсэлэн	qʷ a l a n s a l a n
кӏодыгъошӏу	kʷʼ a d ə ʁʷ a ʃʷʼ
нэмысыпэу	n a m ə s ə p a w
хьэкуку	ħ a kʷ ə kʷ
джыкӏэ	d͡ʒ ə t͡ʃʼ a
тӏуазэх	tʷʼ aː z a x
лъэпэон	ɬ a p a w a n
зыпэгъотхьажьын	z ə p a ʁʷ a t ħ a ʑ ə n
бае	b aː j a
жьаушӏ	ʑ aː w ʃʼ
чэтжъые	t͡ʃʼ a t ʐ ə j
лъэхъомбэшх	ɬ a χʷ a m b a ʃ x
бзако	b z aː kʷ a
къегъэӏыхын	q a j ʁ a tʼ ə x ə n
декъузэн	d a j qʷ ə z a n
нат	n aː t
пшъын	p ʂ ə n
нэпӏэхъ	n a p ʔ a χ
блэ	b l a
тыгъон	t ə ʁʷ a n
гъопэкӏаку	ʁʷ aː p a t͡ʃʼ aː kʷ
чӏэкӏьын	t͡ʂʼ a kʼ ə n
кӏышъоӏот	t͡ʃʼ ə ʃʷ a ʔʷ a t
ебгъэн	j a b ʁ a n
зэгоутын	z a ɡʷ a w t ə n
жьэн	ʑ a n
фэгъэзэн	f a ʁ a z a n
жьао	ʑ aː w a
епэшӏэн	j a p a ʃʼ a n
пӏуакӏэ	pʷʼ aː t͡ʃ a
къэлыдын	q a ɮ ə d ə n
тэцӏэцӏэн	t a t͡sʼ a t͡sʼ a n
хьамлыу	ħ a m l ə w
къощыр	qʷ a ɕ ə r
гъэкӏэрэкӏэн	ʁ a t͡ʃ a r a t͡ʃ a n
ӏапэ	ʔ aː p a
бэдзэр	b a d͡z a r
хэӏун	x a ʔʷ ə n
блыныкӏ	b l ə n ə t͡ʃ
чӏыдагъ	t͡ʃ ə d aː ʁ
щыпэлъф	ɕ ə p a ɬ f
лъэ	ɬ a
пшъэшъэжъый	p ʂ a ʂ a ʐ ə j
шӏугуащэ	ʂʷ ə ɡʷ aː ɕ a
зэкъодзэн	z a qʷ a d͡z a n
яжьэ	j aː ʑ a
хьандзу	ħ aː n d͡zʷ ə
егъэтын	j a ʁ a t ə n
ашъыу	aː ʃʷʼ ə w
лэгъунэ	ɮ a ʁʷ n a
игъэхъон	ə ʁ a χʷ a n
делъэсыкӏын	d a j ɬ a s ə t͡ʃ ə n
фэшӏ	f a ʃʼ
бгъэхэӏушъхь	b ʁ a x a ʔʷ ə ʂ ħ
дэгъолъхьан	t a ʁʷ a ɬ ħ aː n
зэхэон	q a w a n
къэгъэкӏэхьын	q a ʁ a t͡ʃ a ħ ə n
лъэбанэ	ɬ a b aː n a
етӏэхъун	j a tʼ a χʷ ə n
бырацэ	b ə r aː t͡s a
хъун	m a χʷ ə n
куп	kʷ ə p
тгъуакӏо	t ʁʷ aː kʷʼ a
тхьакӏумкӏыхь	t ħ a kʷʼ m a t͡ʃʼ ə ħ
кӏэгьэн	t͡ʃʼ a ɡʲ a n
джынджыф	d͡ʒ ə n d͡ʒ ə f
къефэхын	q a j f a x ə n
щыугъэ	ɕ ə w ə ʁ a
ныбыдж	n ə b ə d͡ʒ
шъхьэубэтагъ	ʂ ħ a w b aː t
къокӏыпӏэ	qʷ a t͡ʃʼ ə pʼ a
лъэрычъ	ɬ a r ə t͡ʂ
къэвкъаз	q a f q aː z
уты	w t ə
мэкъумэщышӏ	m a qʷ m a ɕ ə ʃʼ
хьэбзу	ħ a b z ə w
мэр	m a r
пшъэдэлъ	p ʂ a d a ɬ
урам	w r aː m
къитхъун	q j ə t χʷ ə n
хьакӏэкъуакӏэ	ħ aː t͡ʃʼ a qʷ aː t͡ʃʼ a
чӏыгу	t͡ʃʼ ə ɡʷ ə
блэрыпс	b l a r ə p s
дзэпщ	d͡z a p ɕ ə
джынэс	d͡ʒ ə n a s
зэблэдзын	z a b ɮ a d͡z ə n
бжъэкъожъый	b ʐ a qʷ a ʐ ə j
къыхэущыкӏьын	q ə x a w ɕ ə kʲʼ ə n
псычэтыхъу	p s ə t͡ʃ a t ə χʷ
жэмай	ʒ a m aː j
шъхьэфэшӏужь	ʂ ħ a f a ʃʷʼ ə ʑ
шъхьацы	ʂ ħ aː t͡s ə
мэжъутхэн	m a ʒʷ ə t x a n
пыдж	p ə d͡ʒ
кӏыӏу	t͡ʃʼ ə ʔʷ
хьатыякӏо	ħ aː t ə j aː kʷʼ a
лъэгуаджэ	ɬ a ɡʷ aː d͡ʒ a
тхьэ	t ħ a
жалэ	ʒ aː l a
бзэгухьын	b z a ɡʷ ə ħ ə n
ӏотэн	ʔʷ a t a n
жъэн	ʐ a n
пщынао	p ɕ ə n aː w a
тэрэзыдж	t a r a z ə d͡ʒ
ӏэкӏэхьан	ʔ ə t͡ʃʼ a ħ aː n
къэгъэнэн	q a ʁ a n a n
къыдэмыхъун	q ə d a m ə χʷ ə n
адыгэхэ	aː d ə ɣ a x a
чэрэуан	k a r a w aː n
гуцаф	ɡʷ ə t͡s aː f
абрагъу	aː b r aː ʁʷ
тхьанычъэ	t ħ aː n ə t͡ʂʼ a
мэхъшэбзыу	m a χ t͡ʃ a b z ə w
гоӏу	ɡʷ a ħ ə
уцӏэрэпхъын	w ə t͡sʼ a r a p χ ə n
лэблэбый	l a b l a b ə j
блын	b l ə n
чӏэнэн	t͡ʃ a n a n
бэнанэ	b a n aː n a
былымтыгъу	b ə l ə m t ə ʁʷ
пэ	p a
изэу	j ə z a w
бэджэндыку	b a d͡ʒ a n d a kʷ
щао	ʃ aː w a
дэхэт	d a x a t
чӏэӏотыкӏын	t͡ʂʼ a ʔʷ a t ə t͡ʃʼ ə n
мэ	m a
къуапэ	qʷ aː p a
чэрэз	t͡ʃ a r a z
майтэ	m aː j t a
мэтхьаусхэн	m a t ħ aː w ə s x a n
игъу	j ə ʁʷ a
псытхьэ	p s ə t ħ a
отэгъу	w a t a ʁʷ
шъэо	ʂ a w a
чан	t͡ʃ aː n
щыбырысыр	ɕ ə b ə r ə s ə r
пынэн	p ə n a n
ӏущэщэн	ʔʷ ə ɕ a ɕ a n
лъэкъопцӏанэ	ɬ a qʷ a p t͡sʼ aː n a
унэзэн	w n a z a n
ешъугъон	j a ʃʷ ʁʷ ə n
нэбгы	n a b ɣ ə
тезын	t a j z ə n
къуэдэс	qʷ a d a s
къужъы	qʷ ə ʐ ə
къуае	qʷ aː j a
ныбгъу	n ə b ʁʷ ə
пцӏын	p t͡sʼ ə n
щтэн	ɕ t a n
шӏошӏ	ʃʷʼ a ʃʷ
къычӏэгъэкӏьын	q ə t͡ʃʼ a ʁ a kʲʼ ə n
тфанэ	t f aː n a
къэсэхын	q a s a x ə n
зыци	z ə t͡s ə j
гъонлагъэ	ʁʷ a n ɮ aː ʁ a
псылъэхъу	p s ə ɬ a χʷ
гупэн	ə ɡʷ ə p a n
бэлыджэпс	b a l ə d͡ʒ a p s
лъэкӏэн	ɬ a t͡ʃ a n
къэкӏорэгъэ	q a kʷʼ a r a ʁ a
къешӏэн	q a j ʃʼ a n
мэшӏощыхъу	s ə r n ə t͡ʃ
гудэ	ɡʷ ə d a
къапщыкъ	q aː p ɕ ə q
багьэ	b aː ɡʲ a
амыщ	aː m ə ɕ
лъэхъэн	ɬ a χ a n
фэ	f a
лъэшы	ɬ a ʃ ə
цӏэлъэн	t͡sʼ a ɬ a n
езэгъын	j a z a ʁ ə n
шъхьэпэкӏьын	ʂ ħ a p a kʲʼ ə n
зэгъэфагъ	z a ʁ a f aː ʁ
жьыкорен	ʑ ə kʷ a r a j n
укӏын	w ə t͡ʃʼ ə n
делагъэ	d a j l aː ʁ a
блашъхьэ	b l aː ʂ ħ a
гыен	ɣ ə j a n
шӏыкӏэ	ʃʼ ə t͡ʃʼ a
щыгъозэн	ɕ ə ʁʷ a z a n
бзэджэрылъф	b z a d͡ʒ a r ə ɬ f
дзэ	d͡z a
хабзэ	x aː b z a
гъэунэзэн	ʁ a w n a z a n
хафэ	x aː f a
къэкъун	q a qʷ ə n
щыкӏэн	ɕ ə t͡ʃʼ a n
оды	w a d ə
нэзэжъу	n a z a ʒʷ
зэгогъэкӏын	z a ɡʷ a ʁ a t͡ʃʼ ə n
дырын	d ə r ə n
къэхьуашъо	q a ħ w aː ʂʷ a
кӏэшӏыхьан	t͡ʃʼ a ʃʼ ə ħ aː n
ичӏыпӏэкӏэ	j ə t͡ʂʼ ə pʼ a t͡ʃʼ a
бэджэшъ	b aː d͡ʒ a ʂ
жьышъхьал	ʑ ə ʂ ħ aː l
уӏэн	w ə ʔ a n
хъэпрашъо	χ a p r aː ʂʷ a
дэпкъы	d a p q ə
цыгъон	t͡s ə ʁʷ a n
гъэчэрэзын	ʁ a t͡ʃ a r a z ə n
жэпкъ	ʒ a p q
еин	j a j ə n
гукъэгъэкӏьын	ɡʷ ə q a ʁ a kʲʼ ə n
ӏукӏын	ʔʷ a t͡ʃʼ ə n
мэчэрэгъун	m a t͡ʃ a r a ʁʷ ə n
быргусыргу	b ə r ɡʷ ə s ə r ɡʷ
фызын	f ə z ə n
мыщыгъу	m ə ɕ ə ʁʷ
ебгын	j a b ɣ ə n
тэгъэтӏэтӏэн	ʁ a tʼ a tʼ a n
епэсын	j a p a s ə n
пчыхьэзэхахь	p t͡ʃ ə ħ a z a x aː ħ
къыкъокӏын	q ə qʷ a t͡ʃʼ ə n
занкӏэ	z aː n t͡ʃ a
шэнджэ	ʃ a n d͡ʒ a
сако	s aː kʷ a
гъэхьазырын	ħ aː z ə r ə n
есэпэон	j a s a p a w a n
унашъо	w ə n aː ʂʷ a
зэплъэкӏыгъу	z a p ɬ a t͡ʃʼ ə ʁʷ
закъу	z aː qʷ
псычӏэгъы	p s ə t͡ʂʼ a ʁ ə
бгъурышӏ	b ʁʷ ə r ə ʃʼ
дэгъэтын	d a ʁ a t ə n
гъэсэфытхыдэ	ʁ a s a f ə t x ə d a
цӏэтхын	t͡sʼ a t x ə n
къэщэн	q a ɕ a n
шъофы	ʂʷ a f ə
бжьэпащ	b ʑ a p aː ɕ
гъэщынэн	ʁ a ɕ ə n a n
чатэ	t͡ʃ aː t a
чэмахъо	t͡ʃ a m aː χʷ a
къыпыун	q ə p ə w ə n
хьилэ	ħ ə j l a
сӏын	sʼ ə n
псыкьэт	p s ə kʲ a t
техьагъу	t a j ħ aː ʁʷ
хьэдрыхэтхьэ	ħ a d r ə x a t ħ a
адрабгъу	aː d ə r aː b ʁʷ
хьа	ħ aː
мэзэон	m a z a w a n
гузэжъогъу	ɡʷ ə z a ʒʷ a ʁʷ
рсысын	s ə s ə n
бзэрэбзэн	b z a r a b z a n
гоӏэн	ɡʷ a ʔ a n
пэшӏэн	p a ʃʼ a n
теуцон	t a j d t͡ʃʷ a n
шъуабгъо	ʃʷ aː b ʁʷ aː
накӏэ	n aː t͡ʃʼ a
шъотэгын	ʂʷ a t a ɣ ə n
пцӏанэ	p t͡sʼ aː n a
ахъ	aː χ
цэ	t͡s a
гопкӏэн	ɡʷ a p t͡ʃʼ a n
зыпэшӏыжьын	z ə p a ʃʼ ə ʑ ə n
лэныстэ	l a n ə s t a
ушъыбын	ʂ ə b ə n
дыин	d ə j ə n
плӏэнэбзы	p ɬʼ a n a b z ə
жъышъхьэмыгъу	ʐ ə ʂ ħ a m a ə ʁʷ
пкӏыхь	p t͡ʃ ə ħ
щышӏын	ɕ ə ʃ ə n
кӏэгъожьын	t͡ʃ a ʁʷ a ʑ ə n
блыпкъ	b l ə p q
ӏэпытӏэрын	ʔ a p ə tʼ a r ə n
лъын	ɬ ə n
гъэрэкӏо	ʁ a r a kʷʼ a
пӏэстӏэкӏэшып	p a s t a t͡ʃ a ʃ ə p
ныджы	n ə d͡ʒ ə
шъоу	ʂʷ a w
псынкӏэу	p s ə n t͡ʃʼ a w
пӏэсхъэн	pʼ a s χ a n
бзалъ	b z aː ɬ
зыщыдзыен	z ə ɕ ə d͡z ə j a n
пэмэн	p a m a n
къэхьыуашъо	q a ħ w aː ʂʷ a
куон	kʷ ə w a n
шэнычъэ	ʃ a n t͡ʂ a
зэгожъын	z a ɡʷ a ʐ ə n
чъыглэныстэ	t ʂ ə ɣ l a n ə s t a
къузмэзадэ	qʷ ə z m a z aː d a
лъэугъуае	ɬ a w ʁʷ aː j a
зэпыутын	z a p ə w t ə n
мэпыгьэн	m a p ə ɡʲ a n
чэм	t͡ʃ a m
хымэ	x ə m a
зэон	z a w a n
кӏэрхъон	t͡ʃʼ a r χʷ a n
дзуцон	d͡zʷ ə t͡sʷ a n
хэшӏыкӏьын	x a ʃʼ ə kʲ ə n
енэкӏэон	j a n a t͡ʃ a w a n
лъэгъуае	ɬ a ʁʷ aː j a
сэрай	s a r aː j
нэкӏубгъу	n a kʷʼ b ʁʷ
идзэн	j ə d͡z a n
гъэсысын	ʁ a s ə s ə n
бзэмкъэшӏэныгъ	b z a m q a ʃʼ a n ə ʁ
гъунэгъу	ʁʷ ə n a ʁʷ
мажьэ	m aː ʑ a
бжьэмат	b ʑ a m aː t
кӏотэн	kʷʼ a t a n
уатэ	w aː t a
дэкон	d a kʷ a n
зэхэтэкъун	z a x a t a qʷ ə n
архъуажъ	aː r χʷ aː ʐ
къэлапчъ	q a l aː p t͡ʃ
япхъурэлъф	aː p χʷ ə r a ɬ f
хэгъозэн	x a ʁʷ a z a n
тхыгъэ	t x ə ʁ a
джэщгъум	d͡ʒ a ɕ ʁʷ ə m
щыкӏагъэ	ɕ ə t͡ʃʼ aː ʁ a
чъыгхатэ	t͡ʂ ə ɣ x aː t a
сыхьат	s ə ħ aː t
тхакӏо	t x aː kʷʼ a
кӏэдэн	t͡ʃʼ a d a n
зэӏэгъэхьан	z a ʔ a ʁ a ħ aː n
наныу	n aː n ə w
гъэпкӏын	ʁ a p t͡ʃʼ ə n
мэуэн	m a w a n
